复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
佛本是道 　　　　现代都市，一栋老式的公寓里。哎！周青愁眉苦脸的捧一柄长尺余，宽两指，通体晶黄，上面还有少许黑点的短剑。“前个月我终于修到了《引气入体》的境界，不容易啊，可以驱使飞剑了，只是这飞剑太难弄了啊！上好的赤铜五百来斤，红毛钢三百斤，黄金，白银，玉屑用了我几十万，结果捣鼓出来一把，品质太不纯了。”周青是个修道者，师承《练器宗》，这《练器宗》顾名思义乃是以练制法器为主的。在修道界是一个极小的门派，小得以至于其他的修道门派根本不知道有这么一个门派。周青也是运气好，刚进大学，青春热血啊，一心做好事，学雷峰。用一瓶矿泉水救了一个路边的乞丐后就成了《练器宗》的传人。被那自称凌云道人的乞丐收为徒弟，那知道跟凌云学了一个月修道，凌云就丢下一本《练器总纲》两腿一伸，挂了。原来那凌云在长白山和蜀山剑派的一名弟子为了一块黄云晶起了争执大打出手，结果被几名弟子群殴成重伤，被周青救起以是奄奄一息了。这样周青就名正言顺的成了《练器宗》的宗主。虽然是个光杆司令。
大唐顽主 　　山南东道，江陵府。
传奇公爵 　　九月，深夜，整个帝都脱去了白天那浮华而又喧闹的外衣，安静无比，大多数人家已经灯熄人静，但有一户人家此刻却是灯火通明、热闹不已，这户人家就是在整个亚罗帝国都赫赫有名的大贵族——司徒南伯爵大人的府邸。
恶汉 　　　　董非惊恐的发现，他竟然变成了婴儿。
穿越在古罗马帝国 　　喧闹的呼喊声，有如野兽般的咆哮在沙地上方响起，地面上铺满了温热的鲜血，一阵阵清脆的冷兵器打击声正不断传来，不远处，依稀有几个人影在搏命厮杀。
医道无间 　　朱小君伸了个懒腰，然后闭目凝神，气沉丹田......
巫师世界 　　蔚蓝色天空一望无际，如同看不到边的蓝宝石。没有一丝白云。
网游之这货不是骑士 　　东部未知区域向来很神秘。
韩娱之制作人大亨 　　　　中国、1997年12月末，金国峰站在哈尔滨国际机场前，身上背着妈妈在过年时给他从韩国买的书包，不过此时书包里装的都爷爷奶奶留给他的东西，此时的他还是个11岁的孩子，还是在朝鲜小学读六年级朝鲜族的小学生。
天下 　　　　肆虐了三天三夜的暴风雪终于停了，一架直升飞机从茫茫的雪原上飞回了搜救基地，两个小时后，电视台插播了一条新闻：被暴风雪围困的射箭集训队已经找到，失踪一人，据悉，失踪者是全国射箭冠军李庆安，目前有关部门正全力搜救．．．．．
玄门封神 　　　　黑暗之中，一个人一步一步的走着，走向那遥远的一片幽幽华光，在他的身后有一道更加沉重的脚步跟随着。
上古卷轴之天际至高王 　　海尔根镇。
霸皇 　　　　峰巅之上，白雾缭绕，两道身影依稀的浮现了出来。
重生赛罗奥特曼 　　　　“轰隆隆——”随着一阵巨响，在某岛国的一所秘密基地化为一堆废墟，此行的任务顺利完成，不过却是搭上数位优秀特工的生命完成的...
有条大鱼 　　距离波士顿的市区越远，道路两旁的景象就越显得凄清，不仅高大的建筑物变得稀疏了不少，连来往的车辆也没有几辆。这条路梁葆光几乎每天都要开个来回，哪怕闭着眼睛也不会走错，因为这是他的通学路，也就是去上学的必经之路。
妖精的魔匣 　　　　艾尔巴琅尕，位于科西嘉海角小镇，属罗赛维亚帝国直属领土，气候温暖湿润，盛产葡萄酒和橄榄，物产丰饶。因为隶属帝国直辖，城镇最高长官是皇帝任命的镇长，民风自由淳朴，健谈好客。
备中的伊达独眼龙 　　　　[[[CP|W:250|H:190|A:L|U:http://file2.qidian.com/chapters/201411/19/2217080635520100783743750148122.jpg]]]
漫威之特殊后勤人员 　　晴空万里，热辣阳光晒的广场中心的水池都冒起了雾气。没人愿意在这样的天气下出来走动，白领们在办公室吹着空调，餐厅和酒吧里塞满了避暑的人，就连流动摊位都躲到太阳照不到的地方。
火影之主神系统 　　李晨意识恍惚间，似乎听到了什么声音。
星级猎人 　　　　叮——
超神融合 　　苏柏杨做梦也想不到，今天刚刚走进公司，就被告知由于公司经营不善，老板丢下个烂摊子消失了。
维度之神通演化 　　哒哒哒~~~
最强反恐精英 　　　　“为什么会这样……为什么会这样……”
英雄联盟之女神系统 　　华夏国-Z城-钻石街区-富人小区
重活之逍遥大明星 　　魔都戏剧学院，花园一角，长椅上。
三国之野战无双 　　残阳如血，云烈似火。
诛仙之魔仙问心 　　（这一章埋下了小白、兽神、灵魂、身世的伏笔，很重要，望大家耐心看完，后面的故事不会让大家失望，谢谢支持！）
灭运图录 　　　　石轩从黑暗中醒来，只觉得头疼如裂，还依稀记得被十轮大卡车撞了的巨大痛苦。看到阳光照到胸前，暖洋洋的。慢慢地感觉到了身体的存在，不仅感叹万分，自己真是命大啊，被大卡车撞飞那么远居然还没死。这时，许多记忆碎片从脑海里冒了出来，一时头大如斗。
许仙志 　　　　天气早已入冬了，中心公园的湖边还是有不少情侣，穿的厚厚的依偎着走在一起。
轩辕翔龙传 　　　　
来自瓦歌世界的琥珀 　　时间正是暑热未消的九月份。南方的天气今年一如既往，秋季的最初几天炎热程度甚至胜过盛夏。这种天气一般被称为“秋老虎”。大白天，太阳烈的简直晃眼。顶着大太阳走在马路上简直如蒸笼一样，让人酷热难当，心情烦躁。车水马龙的W市市中心到处都能看到各式车辆奔流不息，却看不到有多少行人在外面行走。
工业霸主 　　　　“我这是到什么地方了？”
老婆爱上我 　　　　刘青驾驶着一辆红色的宝来，慢悠悠地驶在宽阔的马路上。看了下时间，已经八点五十了。按照这种鸟速度，要想在九点到公司，那是根本不可能的。
异常魔兽见闻录 　　　　巴罗夫家族，一个阿拉索血统的古老家族，富有而神秘。北至布瑞尔，西至南海镇，南至塔伦米尔，东至凯尔达隆，洛丹伦大陆七分之一的土地属于这个家族。
横行在宇宙间的龙 　　　　第一章穿越
至高主宰 　　哗啦！
王牌 　　　　一个电闪雷鸣的夏季雨夜，一辆黑色的保时捷轿车在乡间道路上行驶。司机身材矮小，戴着一顶帽子，帽檐压的很低。副驾驶座是一位戴眼镜穿西装的人。后座位置只有一个男人，一个四十岁左右的满脸横肉的彪型大汉。他的手轻轻拍打着手边的一个信封。
生于1871 　　“苏主任，那我就不远送了，您早点回家休息。今天没安排好，您得原谅我还年轻，下回，咱有的是机会。我都想好了，专门儿物色了一个地儿，就是现在季节还差着点儿，等开了春，咱们往外走走，好好聚两天。哎~哎~，车来了，低头低头……。再见~再见~”
篮球之上帝之鞭 　　　　“Hit－him！Hit－him（打他，打他）……Come－on，come－on（上啊，上啊）……Get－down，get－down（趴下，趴下）……”
阳神 　　　　深秋过后，虽然没有下雪，但寒气却一天比一天的重起来。
朱门风流 　　　　“不知道眼下外头闹成什么样子呢！”
贤者时间 　　第一章自信与自卑
备胎大联盟 　　重复，再重复的生活，哪怕有一些惊喜降临，哪怕在虚拟的游戏世界中获得一些满足，终归超不过一天的时间，也会归于平静，就像平湖上落下石子泛起的波澜，永远打不起激情的浪花。
三国之无赖兵王 　　雪飘飘洒洒的落着，大地被铺上了一层厚厚的苍茫。
穿越明末之重铸帝国 　　1
篮神供应商 　　北风呼啸，雪花纷飞，如果不是因为这个寒冷的天气，袁夙恐怕一辈子都无法站在北京国贸大厦的最顶端。
大海贼巴基 　　“喂，巴基，醒醒，巴基，快醒醒！”
地球最强生物 　　小小的饭店内，空气有些燥热。
明朝伪君子 　　　　秦堪醒来时的处境让他有一种想死的冲动。
大隐 　　　　于山半梦半醒之间，看到自己的头顶好像飘着一个黑影，这让他猛然一惊，立即清醒了过来。
明士 　　　　子夜。
妖精的尾巴之不死鸟 　　　　[[[CP|W:560|H:560|A:L|U:http://file1.qidian.com/chapters/20153/2/3428222635609285191152500521474.jpg]]]……
穿越喵 　　“要成功了……”远处，一大片淡淡的青色辉光依旧坚挺，其庇佑之下的那一片有些不同于周围正牌大虚空、层次却正式达到了与之别无二致的地步的“虚空域”已然接近彻底定型，只等与青芒争锋、此时已然显出了许些颓势的“虚空扭曲”——那是大虚空【至高规则】降临之后，在层次不够高的存在看来唯一的外在体现——只等其彻底消失退去，【虚空第三域】就将彻底现世，从此永恒的存在于大虚空当中。
贩罪 　　　　十二月三日，阴。
星峰传说 　　　　这是萧林的故事！这几天无法解禁，大家先看看这个吧，不想看的，随便！呵呵！
无上大宗师 　　第一章请放弃我
位面源代码 　　“呼......”
大宋第一废柴神童 　　北宋明道二年。十月里，正是一更天气，笼罩的夜色，将远方的棱角吞噬的模糊，几只乌鸦，翘腿儿撘瓜的，在附近树枝头呱呱嘎嘎的鬼哭狼嚎。
我是个阴阳符师 　　一个人碰见一次灵异事件并不难，难的是一辈子碰见灵异事件。
小兵传奇 　　　　
明星天王 　　　　“大连新闻网，北大准新生，全国十大孝子之一苏曈，因勇救五名落水小学生，最后力竭而溺亡……”
口袋妖怪进行时 　　Z国南海某海域，一艘远洋船正缓缓的驶向南方，这是一艘远洋货轮，正准备通过南海、马六甲、红海最终将整船的货物运往欧洲。
美国超级牧场主 　　九月份的江南，即使到了晚上，依然显得那么闷热。
无限之幸运术的升级 　　“你说这个戒指能够帮我穿越到幻想世界里？”十六岁的王平坐在一个诡异的悬浮在半空中的珠子面前问道。
我的肚子里有棵树 　　　　“师傅，那间砂县小吃，十二分钟前走过一趟了。”
证道成峰 　　　　新书开张！九弥是一名新手，而《证道》也是九弥的第一部作品，新手嘛，总有一些对各位不如意的地方，还望诸位海涵！也希望各为兄弟姐
游戏四万年 　　带着腐臭气息的风一直吹着，在那月光无法照射到的阴暗角落里，几只野狗正巨大的垃圾山里翻找着今天的食物，时不时被风吹起的小垃圾，重重地摔在不远处古老而又破旧的城墙上，发出叮叮咚咚的声音。
火影之威震天下 　　“嗯？头怎么昏昏的？我这是在哪里？”郑玉恒醒来之后，晃了晃头，想要驱散那昏沉沉的感觉，不过事与愿违，不晃不要紧，一晃之下再次倒下了。再次昏迷过去之后，他好像做了一个梦，在梦中他的名字叫做宇智波佐助，出生在宇智波家族，父亲是宇智波一族的族长，母亲负责家务，还有一名天才的哥哥，自己总是缠着哥哥一起修炼，希望他教导自己苦无的投掷方法。
最强教主 　　※※※
我的英灵殿 　　“平静而又普通的人生真的好吗？”
